name,sku,size,description,available,sortOrder,collections,imageUrl
"2"" Polka Dot",1106120000,"2""","A playful foliage plant (Hypoestes) with leaves splashed in pink, white, or red speckles. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Keep soil evenly moist and never let it dry out completely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_6614fba3051c4731b6d7e6d55e616bfd~mv2.jpg
"2"" Maranta - Red",1106155100,"2""","The classic Prayer Plant, named for the way its patterned leaves fold upward at night like praying hands. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Prefers consistently moist soil and appreciates higher humidity. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_71d18f6b8f114382a92202f8d03b4f00~mv2.jpg
"2.5"" Peperomia Rubella",1106193300,"2""","A compact, easy-care houseplant with thick, decorative leaves that store water like a succulent. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Pet friendly and non-toxic if ingested.",FALSE,,Tropical Plants;,23f81e_24198354533f40b69a211dd4ec354783~mv2.jpg
"2"" Peperomia - Happy Bean",1106195900,"2""","A compact, easy-care houseplant with thick, decorative leaves that store water like a succulent. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_6ddb67c294af4fcdbd05b0baf42f2c96~mv2.jpg
"2"" Pilea - Silver Tree",1106241300,"2""","A charming, compact plant with round, coin-shaped or textured leaves that make a fun tabletop accent. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Rotate occasionally for even, symmetrical growth. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_bb46f263e50a41fa91d571cb27994902~mv2.jpg
"2"" Pilea - Peperomiodes",1106241600,"2""","A charming, compact plant with round, coin-shaped or textured leaves that make a fun tabletop accent. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Rotate occasionally for even, symmetrical growth. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_a02a8f017d214379864ce98087a86a7e~mv2.jpg
"2"" Pilea - Ellen",1106241700,"2""","A charming, compact plant with round, coin-shaped or textured leaves that make a fun tabletop accent. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Rotate occasionally for even, symmetrical growth. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_d1546969ef034590a9d67f709bb183f8~mv2.jpg
"2"" Sansevieria Heart",1106281400,"2""","The classic Snake Plant, prized for its stiff, upright, sculptural leaves and near-indestructible nature. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Water sparingly and only once the soil is completely dry; excellent drainage is essential. Keep away from pets and children, as this plant is toxic if ingested.",FALSE,,Tropical Plants;,23f81e_34a2918fbab94c3cb216038a9f379e7f~mv2.jpg
"4"" Tropicals - assorted",1110000000,"4""","A curated mix of easy-care tropical foliage plants, offering varied textures and colours for indoor greenery. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely.",TRUE,,Tropical Plants;,23f81e_9669355cabd14d609ff728a4f2629e58~mv2.jpg
"4"" Lipstick Plant",1110003000,"4""","A charming trailing plant named for its tubular red or coral flowers that emerge from dark, lipstick-tube-like buds. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",FALSE,,Tropical Plants;,23f81e_90f416aa82ed4e308cf8b232b714636a~mv2.jpg;23f81e_e4f04b04fe074f6294302b34ee3fbdbd~mv2.jpg
